date,index,expiry_tag,offset,horizon,window,k,mode,latency_ms,baseline_latency_ms,ann_speedup,ann_q50_mad,ann_total_windows,ann_shortlisted,ann_prune_ratio,ann_build_ms,ann_index_mem_bytes,ann_guard_triggered,ann_guard_original_mad
2025-10-03,NIFTY,this_week,0,60,120,15,hybrid,5,5,1.0,0.0,0,24,,0,11040,0,
2025-10-07,NIFTY,this_week,0,60,120,15,hybrid,4,4,1.0,0.0,0,24,,0,11040,0,
2025-10-08,NIFTY,this_week,0,60,120,15,hybrid,4,4,1.0,0.0,0,24,,0,11040,0,
2025-10-09,NIFTY,this_week,0,60,120,15,hybrid,4,4,1.0,0.0,0,24,,0,11040,0,
2025-10-10,NIFTY,this_week,0,60,120,15,hybrid,4,4,1.0,0.0,0,24,,0,11040,0,
2025-10-24,NIFTY,this_week,0,60,120,15,hybrid,4,4,1.0,0.0,0,24,,0,11040,0,
2025-10-28,NIFTY,this_week,0,60,120,15,hybrid,4,4,1.0,0.0,0,24,,0,11040,0,
2025-10-29,NIFTY,this_week,0,60,120,15,hybrid,4,4,1.0,0.0,0,24,,0,11040,0,
2025-10-30,NIFTY,this_week,0,60,120,15,hybrid,4,5,1.25,0.0,0,24,,0,11040,0,
2025-10-31,NIFTY,this_week,0,60,120,15,hybrid,5,7,1.4,0.0,0,24,,0,11040,0,
2025-11-03,NIFTY,this_week,0,60,120,15,hybrid,4,5,1.25,0.0,0,24,,0,11040,0,
2025-11-04,NIFTY,this_week,0,60,120,15,hybrid,4,4,1.0,0.0,0,24,,0,11040,0,
2025-11-06,NIFTY,this_week,0,60,120,15,hybrid,6,5,0.8333333333333334,0.0,0,24,,0,11040,0,
2025-09-30,NIFTY,this_week,+50,60,60,10,retrieval,383,2,0.005221932114882507,0.0,24,24,1.0,380,5760,0,
2025-10-01,NIFTY,this_week,+50,60,60,10,retrieval,2,2,1.0,0.0,0,24,,0,5760,0,
2025-10-03,NIFTY,this_week,+50,60,60,10,retrieval,2,2,1.0,0.0,0,24,,0,5760,0,
2025-10-07,NIFTY,this_week,+50,60,60,10,retrieval,2,2,1.0,0.0,0,24,,0,5760,0,
2025-10-08,NIFTY,this_week,+50,60,60,10,retrieval,2,2,1.0,0.0,0,24,,0,5760,0,
2025-10-09,NIFTY,this_week,+50,60,60,10,retrieval,2,2,1.0,0.0,0,24,,0,5760,0,
2025-10-10,NIFTY,this_week,+50,60,60,10,retrieval,2,2,1.0,0.0,0,24,,0,5760,0,
2025-10-24,NIFTY,this_week,+50,60,60,10,retrieval,2,2,1.0,0.0,0,24,,0,5760,0,
2025-10-28,NIFTY,this_week,+50,60,60,10,retrieval,2,2,1.0,0.0,0,24,,0,5760,0,
2025-10-29,NIFTY,this_week,+50,60,60,10,retrieval,2,2,1.0,0.0,0,24,,0,5760,0,
2025-10-30,NIFTY,this_week,+50,60,60,10,retrieval,2,2,1.0,0.0,0,24,,0,5760,0,
2025-10-31,NIFTY,this_week,+50,60,60,10,retrieval,2,2,1.0,0.0,0,24,,0,5760,0,
2025-11-03,NIFTY,this_week,+50,60,60,10,retrieval,2,2,1.0,0.0,0,24,,0,5760,0,
2025-11-04,NIFTY,this_week,+50,60,60,10,retrieval,2,2,1.0,0.0,0,24,,0,5760,0,
2025-11-06,NIFTY,this_week,+50,60,60,10,retrieval,2,2,1.0,0.0,0,24,,0,5760,0,
2025-09-30,NIFTY,this_week,+50,60,60,10,auto,371,3,0.008086253369272238,0.0,24,24,1.0,1,5760,0,
2025-10-01,NIFTY,this_week,+50,60,60,10,auto,3,3,1.0,0.0,0,24,,0,5760,0,
2025-10-03,NIFTY,this_week,+50,60,60,10,auto,3,3,1.0,0.0,0,24,,0,5760,0,
2025-10-07,NIFTY,this_week,+50,60,60,10,auto,4,3,0.75,0.0,0,24,,0,5760,0,
2025-10-08,NIFTY,this_week,+50,60,60,10,auto,3,3,1.0,0.0,0,24,,0,5760,0,
2025-10-09,NIFTY,this_week,+50,60,60,10,auto,3,3,1.0,0.0,0,24,,0,5760,0,
2025-10-10,NIFTY,this_week,+50,60,60,10,auto,3,3,1.0,0.0,0,24,,0,5760,0,
2025-10-24,NIFTY,this_week,+50,60,60,10,auto,3,3,1.0,0.0,0,24,,0,5760,0,
2025-10-28,NIFTY,this_week,+50,60,60,10,auto,3,4,1.3333333333333333,0.0,0,24,,0,5760,0,
2025-10-29,NIFTY,this_week,+50,60,60,10,auto,3,3,1.0,0.0,0,24,,0,5760,0,
2025-10-30,NIFTY,this_week,+50,60,60,10,auto,3,3,1.0,0.0,0,24,,0,5760,0,
2025-10-31,NIFTY,this_week,+50,60,60,10,auto,3,3,1.0,0.0,0,24,,0,5760,0,
2025-11-03,NIFTY,this_week,+50,60,60,10,auto,3,3,1.0,0.0,0,24,,0,5760,0,
2025-11-04,NIFTY,this_week,+50,60,60,10,auto,3,3,1.0,0.0,0,24,,0,5760,0,
2025-11-06,NIFTY,this_week,+50,60,60,10,auto,3,3,1.0,0.0,0,24,,0,5760,0,
2025-09-30,NIFTY,this_week,+50,60,60,10,hybrid,371,3,0.008086253369272238,0.0,24,24,1.0,1,5760,0,
2025-10-01,NIFTY,this_week,+50,60,60,10,hybrid,3,3,1.0,0.0,0,24,,0,5760,0,
2025-10-03,NIFTY,this_week,+50,60,60,10,hybrid,3,3,1.0,0.0,0,24,,0,5760,0,
2025-10-07,NIFTY,this_week,+50,60,60,10,hybrid,3,3,1.0,0.0,0,24,,0,5760,0,
2025-10-08,NIFTY,this_week,+50,60,60,10,hybrid,3,3,1.0,0.0,0,24,,0,5760,0,
2025-10-09,NIFTY,this_week,+50,60,60,10,hybrid,3,2,0.6666666666666666,0.0,0,24,,0,5760,0,
2025-10-10,NIFTY,this_week,+50,60,60,10,hybrid,3,3,1.0,0.0,0,24,,0,5760,0,
2025-10-24,NIFTY,this_week,+50,60,60,10,hybrid,3,3,1.0,0.0,0,24,,0,5760,0,
2025-10-28,NIFTY,this_week,+50,60,60,10,hybrid,3,3,1.0,0.0,0,24,,0,5760,0,
2025-10-29,NIFTY,this_week,+50,60,60,10,hybrid,3,3,1.0,0.0,0,24,,0,5760,0,
2025-10-30,NIFTY,this_week,+50,60,60,10,hybrid,3,3,1.0,0.0,0,24,,0,5760,0,
2025-10-31,NIFTY,this_week,+50,60,60,10,hybrid,3,3,1.0,0.0,0,24,,0,5760,0,
2025-11-03,NIFTY,this_week,+50,60,60,10,hybrid,3,2,0.6666666666666666,0.0,0,24,,0,5760,0,
2025-11-04,NIFTY,this_week,+50,60,60,10,hybrid,3,3,1.0,0.0,0,24,,0,5760,0,
2025-11-06,NIFTY,this_week,+50,60,60,10,hybrid,3,3,1.0,0.0,0,24,,0,5760,0,
