trial,mse,learning_rate,max_iter,max_depth,l2_regularization,early_stopping,random_state
37,0.23825323581695557,0.05,200,,0.0,True,42
38,0.2389145791530609,0.05,200,,0.1,True,42
39,0.2730296552181244,0.05,200,,0.5,True,42
40,0.23777908086776733,0.05,200,8,0.0,True,42
41,0.2459079474210739,0.05,200,8,0.1,True,42
42,0.2730296552181244,0.05,200,8,0.5,True,42
43,0.23825323581695557,0.05,200,16,0.0,True,42
44,0.2389145791530609,0.05,200,16,0.1,True,42
45,0.2730296552181244,0.05,200,16,0.5,True,42
46,0.23825323581695557,0.05,300,,0.0,True,42
47,0.2389145791530609,0.05,300,,0.1,True,42
48,0.2730296552181244,0.05,300,,0.5,True,42
49,0.23777908086776733,0.05,300,8,0.0,True,42
50,0.2459079474210739,0.05,300,8,0.1,True,42
51,0.2730296552181244,0.05,300,8,0.5,True,42
52,0.23825323581695557,0.05,300,16,0.0,True,42
53,0.2389145791530609,0.05,300,16,0.1,True,42
54,0.2730296552181244,0.05,300,16,0.5,True,42
55,0.23825323581695557,0.05,400,,0.0,True,42
56,0.2389145791530609,0.05,400,,0.1,True,42
57,0.2730296552181244,0.05,400,,0.5,True,42
58,0.23777908086776733,0.05,400,8,0.0,True,42
59,0.2459079474210739,0.05,400,8,0.1,True,42
60,0.2730296552181244,0.05,400,8,0.5,True,42
61,0.23825323581695557,0.05,400,16,0.0,True,42
62,0.2389145791530609,0.05,400,16,0.1,True,42
63,0.2730296552181244,0.05,400,16,0.5,True,42
64,0.23825323581695557,0.05,800,,0.0,True,42
65,0.2389145791530609,0.05,800,,0.1,True,42
66,0.2730296552181244,0.05,800,,0.5,True,42
67,0.23777908086776733,0.05,800,8,0.0,True,42
68,0.2459079474210739,0.05,800,8,0.1,True,42
69,0.2730296552181244,0.05,800,8,0.5,True,42
70,0.23825323581695557,0.05,800,16,0.0,True,42
71,0.2389145791530609,0.05,800,16,0.1,True,42
72,0.2730296552181244,0.05,800,16,0.5,True,42
73,0.2760032117366791,0.1,200,,0.0,True,42
74,0.24088115990161896,0.1,200,,0.1,True,42
75,0.3122873604297638,0.1,200,,0.5,True,42
76,0.2759701609611511,0.1,200,8,0.0,True,42
77,0.23742279410362244,0.1,200,8,0.1,True,42
78,0.30432409048080444,0.1,200,8,0.5,True,42
79,0.2760032117366791,0.1,200,16,0.0,True,42
80,0.24088115990161896,0.1,200,16,0.1,True,42
81,0.3122873604297638,0.1,200,16,0.5,True,42
82,0.2760032117366791,0.1,300,,0.0,True,42
83,0.24088115990161896,0.1,300,,0.1,True,42
84,0.3122873604297638,0.1,300,,0.5,True,42
85,0.2759701609611511,0.1,300,8,0.0,True,42
86,0.23742279410362244,0.1,300,8,0.1,True,42
87,0.30432409048080444,0.1,300,8,0.5,True,42
88,0.2760032117366791,0.1,300,16,0.0,True,42
89,0.24088115990161896,0.1,300,16,0.1,True,42
90,0.3122873604297638,0.1,300,16,0.5,True,42
91,0.2760032117366791,0.1,400,,0.0,True,42
92,0.24088115990161896,0.1,400,,0.1,True,42
93,0.3122873604297638,0.1,400,,0.5,True,42
94,0.2759701609611511,0.1,400,8,0.0,True,42
95,0.23742279410362244,0.1,400,8,0.1,True,42
96,0.30432409048080444,0.1,400,8,0.5,True,42
97,0.2760032117366791,0.1,400,16,0.0,True,42
98,0.24088115990161896,0.1,400,16,0.1,True,42
99,0.3122873604297638,0.1,400,16,0.5,True,42
100,0.2760032117366791,0.1,800,,0.0,True,42
101,0.24088115990161896,0.1,800,,0.1,True,42
102,0.3122873604297638,0.1,800,,0.5,True,42
103,0.2759701609611511,0.1,800,8,0.0,True,42
104,0.23742279410362244,0.1,800,8,0.1,True,42
105,0.30432409048080444,0.1,800,8,0.5,True,42
106,0.2760032117366791,0.1,800,16,0.0,True,42
107,0.24088115990161896,0.1,800,16,0.1,True,42
108,0.3122873604297638,0.1,800,16,0.5,True,42
