trial,mse,learning_rate,max_iter,max_depth,l2_regularization,early_stopping,random_state
38,0.7926146388053894,0.05,200,,0.1,True,42
39,0.7680110335350037,0.05,200,,0.5,True,42
40,0.7835748195648193,0.05,200,8,0.0,True,42
41,0.7913529872894287,0.05,200,8,0.1,True,42
42,0.7628455758094788,0.05,200,8,0.5,True,42
43,0.79220050573349,0.05,200,16,0.0,True,42
44,0.7926146388053894,0.05,200,16,0.1,True,42
45,0.7680110335350037,0.05,200,16,0.5,True,42
46,0.79220050573349,0.05,300,,0.0,True,42
47,0.7926146388053894,0.05,300,,0.1,True,42
48,0.7680110335350037,0.05,300,,0.5,True,42
49,0.7835748195648193,0.05,300,8,0.0,True,42
50,0.7913529872894287,0.05,300,8,0.1,True,42
51,0.7628455758094788,0.05,300,8,0.5,True,42
52,0.79220050573349,0.05,300,16,0.0,True,42
53,0.7926146388053894,0.05,300,16,0.1,True,42
54,0.7680110335350037,0.05,300,16,0.5,True,42
55,0.79220050573349,0.05,400,,0.0,True,42
56,0.7926146388053894,0.05,400,,0.1,True,42
57,0.7680110335350037,0.05,400,,0.5,True,42
58,0.7835748195648193,0.05,400,8,0.0,True,42
59,0.7913529872894287,0.05,400,8,0.1,True,42
60,0.7628455758094788,0.05,400,8,0.5,True,42
61,0.79220050573349,0.05,400,16,0.0,True,42
62,0.7926146388053894,0.05,400,16,0.1,True,42
63,0.7680110335350037,0.05,400,16,0.5,True,42
64,0.79220050573349,0.05,800,,0.0,True,42
65,0.7926146388053894,0.05,800,,0.1,True,42
66,0.7680110335350037,0.05,800,,0.5,True,42
67,0.7835748195648193,0.05,800,8,0.0,True,42
68,0.7913529872894287,0.05,800,8,0.1,True,42
69,0.7628455758094788,0.05,800,8,0.5,True,42
70,0.79220050573349,0.05,800,16,0.0,True,42
71,0.7926146388053894,0.05,800,16,0.1,True,42
72,0.7680110335350037,0.05,800,16,0.5,True,42
73,0.7875336408615112,0.1,200,,0.0,True,42
74,0.7973452806472778,0.1,200,,0.1,True,42
75,0.7657548189163208,0.1,200,,0.5,True,42
76,0.798306405544281,0.1,200,8,0.0,True,42
77,0.7983551025390625,0.1,200,8,0.1,True,42
78,0.7940887808799744,0.1,200,8,0.5,True,42
79,0.7875336408615112,0.1,200,16,0.0,True,42
80,0.7973452806472778,0.1,200,16,0.1,True,42
81,0.7657548189163208,0.1,200,16,0.5,True,42
82,0.7875336408615112,0.1,300,,0.0,True,42
83,0.7973452806472778,0.1,300,,0.1,True,42
84,0.7657548189163208,0.1,300,,0.5,True,42
85,0.798306405544281,0.1,300,8,0.0,True,42
86,0.7983551025390625,0.1,300,8,0.1,True,42
87,0.7940887808799744,0.1,300,8,0.5,True,42
88,0.7875336408615112,0.1,300,16,0.0,True,42
89,0.7973452806472778,0.1,300,16,0.1,True,42
90,0.7657548189163208,0.1,300,16,0.5,True,42
91,0.7875336408615112,0.1,400,,0.0,True,42
92,0.7973452806472778,0.1,400,,0.1,True,42
93,0.7657548189163208,0.1,400,,0.5,True,42
94,0.798306405544281,0.1,400,8,0.0,True,42
95,0.7983551025390625,0.1,400,8,0.1,True,42
96,0.7940887808799744,0.1,400,8,0.5,True,42
97,0.7875336408615112,0.1,400,16,0.0,True,42
98,0.7973452806472778,0.1,400,16,0.1,True,42
99,0.7657548189163208,0.1,400,16,0.5,True,42
100,0.7875336408615112,0.1,800,,0.0,True,42
101,0.7973452806472778,0.1,800,,0.1,True,42
102,0.7657548189163208,0.1,800,,0.5,True,42
103,0.798306405544281,0.1,800,8,0.0,True,42
104,0.7983551025390625,0.1,800,8,0.1,True,42
105,0.7940887808799744,0.1,800,8,0.5,True,42
106,0.7875336408615112,0.1,800,16,0.0,True,42
107,0.7973452806472778,0.1,800,16,0.1,True,42
108,0.7657548189163208,0.1,800,16,0.5,True,42
