path,rows,parsed_ts,parse_fail,out_of_order,duplicate_ts,negative_values,min_ts,max_ts,min_tp,max_tp,issue_count
data\g6_data\SENSEX\this_week\+300\2025-10-09.csv,297,297,0,0,0,0,1759995000000,1760004000000,228.05,480.19,0
data\g6_data\SENSEX\this_week\+300\2025-10-10.csv,691,691,0,0,0,0,1760068020000,1760090400000,653.7,769.99,0
data\g6_data\SENSEX\this_week\+300\2025-10-23.csv,307,307,0,0,0,0,1761202230000,1761213600000,121.69,457.88,0
data\g6_data\SENSEX\this_week\+300\2025-10-24.csv,187,187,0,0,0,0,1761282060000,1761287640000,889.8,962.01,0
data\g6_data\SENSEX\this_week\+300\2025-10-27.csv,479,479,0,0,5,0,1761540750000,1761558210000,795.3,878.35,0
data\g6_data\SENSEX\this_week\+300\2025-10-28.csv,693,693,0,1,15,0,1761624000000,1761645600000,700.0999999999999,162000.0,1
data\g6_data\SENSEX\this_week\+300\2025-10-29.csv,671,671,0,0,0,0,1761711900000,1761732000000,483.95000000000005,643.3499999999999,0
data\g6_data\SENSEX\this_week\+300\2025-10-30.csv,567,567,0,0,3,0,1761795900000,1761818400000,211.76999999999998,518.1,0
data\g6_data\SENSEX\this_week\+300\2025-10-31.csv,452,452,0,0,25,0,1761885210000,1761904800000,846.1500000000001,921.88,0
data\g6_data\SENSEX\this_week\+300\2025-11-03.csv,531,531,0,0,0,0,1762139550000,1762163490000,716.65,921.875,0
data\g6_data\SENSEX\this_week\+300\2025-11-04.csv,678,678,0,0,1,0,1762228890000,1762250400000,543.3499999999999,697.95,0
data\g6_data\SENSEX\this_week\+300\2025-11-06.csv,665,665,0,0,0,0,1762400490000,1762422360000,200.99,618.5,0
data\g6_data\SENSEX\this_week\+400\2025-09-15.csv,324,324,0,0,0,0,1757909010000,1757930340000,602.9,684.35,0
data\g6_data\SENSEX\this_week\+400\2025-09-16.csv,215,215,0,0,1,0,1757995020000,1758014520000,542.3,664.4499999999999,0
data\g6_data\SENSEX\this_week\+400\2025-09-17.csv,242,242,0,0,0,0,1758088650000,1758103200000,421.45,521.23,0
data\g6_data\SENSEX\this_week\+400\2025-09-18.csv,319,319,0,0,0,0,1758169830000,1758189060000,183.9,497.71000000000004,0
data\g6_data\SENSEX\this_week\+400\2025-09-19.csv,266,266,0,0,132,0,1758256020000,1758275910000,667.7,766.2,0
data\g6_data\SENSEX\this_week\+400\2025-09-22.csv,568,568,0,0,284,0,1758517800000,1758535170000,570.7,655.05,0
data\g6_data\SENSEX\this_week\+400\2025-09-30.csv,465,465,0,0,8,0,1759209870000,1759226370000,471.95000000000005,631.21,0
data\g6_data\SENSEX\this_week\+400\2025-10-01.csv,586,586,0,0,2,0,1759292160000,1759312770000,301.05,666.17,0
data\g6_data\SENSEX\this_week\+400\2025-10-03.csv,165,165,0,0,3,0,1759463670000,1759483320000,686.75,808.49,0
data\g6_data\SENSEX\this_week\+400\2025-10-06.csv,61,61,0,0,1,0,1759737990000,1759742220000,562.9200000000001,636.41,0
data\g6_data\SENSEX\this_week\+400\2025-10-07.csv,416,416,0,0,5,0,1759811100000,1759830930000,484.04999999999995,623.78,0
data\g6_data\SENSEX\this_week\+400\2025-10-08.csv,723,723,0,0,0,0,1759895160000,1759917600000,369.85,604.9899999999999,0
data\g6_data\SENSEX\this_week\+400\2025-10-09.csv,280,280,0,0,0,0,1759995000000,1760004000000,322.95,572.52,0
data\g6_data\SENSEX\this_week\+400\2025-10-10.csv,603,603,0,0,0,0,1760068380000,1760090400000,657.75,829.4499999999999,0
data\g6_data\SENSEX\this_week\+400\2025-10-23.csv,307,307,0,0,0,0,1761202230000,1761213600000,128.07,543.52,0
data\g6_data\SENSEX\this_week\+400\2025-10-24.csv,187,187,0,0,0,0,1761282060000,1761287640000,897.35,959.45,0
data\g6_data\SENSEX\this_week\+400\2025-10-27.csv,479,479,0,0,5,0,1761540750000,1761558210000,801.75,895.88,0
data\g6_data\SENSEX\this_week\+400\2025-10-28.csv,693,693,0,1,15,0,1761624000000,1761645600000,714.35,162000.0,1
data\g6_data\SENSEX\this_week\+400\2025-10-29.csv,671,671,0,0,0,0,1761711900000,1761732000000,506.05,683.9599999999999,0
data\g6_data\SENSEX\this_week\+400\2025-10-30.csv,567,567,0,0,3,0,1761795900000,1761818400000,254.03,580.7,0
data\g6_data\SENSEX\this_week\+400\2025-10-31.csv,452,452,0,0,25,0,1761885210000,1761904800000,853.5,936.95,0
data\g6_data\SENSEX\this_week\+400\2025-11-03.csv,531,531,0,0,0,0,1762139550000,1762163490000,733.95,915.3499999999999,0
data\g6_data\SENSEX\this_week\+400\2025-11-04.csv,678,678,0,0,1,0,1762228890000,1762250400000,562.13,736.2,0
data\g6_data\SENSEX\this_week\+400\2025-11-06.csv,665,665,0,0,0,0,1762400490000,1762422360000,253.17000000000002,640.2,0
data\g6_data\SENSEX\this_week\+500\2025-09-15.csv,123,123,0,0,0,0,1757909070000,1757929290000,637.2,755.89,0
data\g6_data\SENSEX\this_week\+500\2025-09-16.csv,28,28,0,0,0,0,1757994840000,1757996580000,640.15,706.87,0
data\g6_data\SENSEX\this_week\+500\2025-09-17.csv,74,74,0,0,0,0,1758089070000,1758100500000,473.35,558.73,0
data\g6_data\SENSEX\this_week\+500\2025-09-18.csv,289,289,0,0,0,0,1758169830000,1758189240000,238.87,554.0,0
data\g6_data\SENSEX\this_week\+500\2025-09-19.csv,102,102,0,0,51,0,1758256020000,1758275910000,691.3,805.0,0
data\g6_data\SENSEX\this_week\+500\2025-09-22.csv,568,568,0,0,284,0,1758517800000,1758535170000,591.8499999999999,706.38,0
data\g6_data\SENSEX\this_week\+500\2025-09-30.csv,465,465,0,0,8,0,1759209870000,1759226370000,509.2,682.35,0
data\g6_data\SENSEX\this_week\+500\2025-10-01.csv,437,437,0,0,2,0,1759292160000,1759312410000,396.25,697.66,0
data\g6_data\SENSEX\this_week\+500\2025-10-03.csv,378,378,0,0,1,0,1759466010000,1759482360000,722.5500000000001,825.97,0
data\g6_data\SENSEX\this_week\+500\2025-10-06.csv,8,8,0,0,0,0,1759738830000,1759739040000,614.9499999999999,634.5999999999999,0
data\g6_data\SENSEX\this_week\+500\2025-10-07.csv,97,97,0,0,1,0,1759815210000,1759830930000,502.63,673.65,0
data\g6_data\SENSEX\this_week\+500\2025-10-08.csv,646,646,0,0,0,0,1759895220000,1759917600000,383.11,640.12,0
data\g6_data\SENSEX\this_week\+500\2025-10-09.csv,211,211,0,0,0,0,1759995000000,1760003130000,416.09999999999997,603.85,0
data\g6_data\SENSEX\this_week\+500\2025-10-10.csv,412,412,0,0,0,0,1760068290000,1760090400000,673.0,831.13,0
data\g6_data\SENSEX\this_week\+500\2025-10-23.csv,307,307,0,0,0,0,1761202230000,1761213600000,163.51,638.81,0
data\g6_data\SENSEX\this_week\+500\2025-10-24.csv,187,187,0,0,0,0,1761282060000,1761287640000,911.0,987.0999999999999,0
data\g6_data\SENSEX\this_week\+500\2025-10-27.csv,479,479,0,0,5,0,1761540750000,1761558210000,814.05,928.29,0
data\g6_data\SENSEX\this_week\+500\2025-10-28.csv,693,693,0,1,15,0,1761624000000,1761645600000,743.9,162000.0,1
data\g6_data\SENSEX\this_week\+500\2025-10-29.csv,671,671,0,0,0,0,1761711900000,1761732000000,544.7,740.3199999999999,0
data\g6_data\SENSEX\this_week\+500\2025-10-30.csv,567,567,0,0,3,0,1761795900000,1761818400000,303.07,652.3,0
